item	text	full_item
1	Andere würden mich als leichtsinnig beschreiben.	3
2	Es kommt mir vor, als würde ich völlig impulsiv handeln.	4
3	Obwohl ich es eigentlich besser weiß, treffe ich immer wieder überstürzte Entscheidungen.	17
4	Ich habe oft das Gefühl, dass nichts, was ich tue, wirklich wichtig ist.	27
5	Andere halten mich für verantwortungslos.	31
6	Ich kann nicht gut im Voraus planen.	47
7	Meine Gedankengänge ergeben für andere häufig keinen Sinn.	52
8	Ich mache mir über fast alles Sorgen.	110
9	Ich werde schnell emotional, oft aus geringstem Anlass.	122
10	Vor nichts im Leben fürchte ich mich so sehr wie vor dem Alleinsein.	127
11	Ich halte an einer bestimmten Herangehensweise fest, auch wenn klar ist, dass es so nicht funktionieren wird.	128
12	Ich habe schon mal Dinge gesehen, die nicht wirklich da waren.	139
13	Ich gehe Liebesbeziehungen aus dem Weg.	145
14	Ich habe kein Interesse daran, Freundschaften zu schließen.	146
15	Ich bin schnell von allen möglichen Dingen genervt.	158
16	Zu viel Nähe zu anderen Menschen ist mir unangenehm.	161
17	Es ist nichts dabei, wenn ich die Gefühle anderer verletze.	166
18	Ich bin selten von irgendetwas begeistert.	189
19	Ich bin verrückt nach Aufmerksamkeit.	191
20	Ich muss mich oft mit Leuten beschäftigen, die weniger wichtig sind als ich.	197
21	Ich habe oft Gedanken, die für mich Sinn ergeben, aber anderen Leuten seltsam erscheinen.	205
22	Ich benutze Menschen, um zu bekommen, was ich will.	206
23	Ich vergesse häufig alles um mich herum, komme dann plötzlich zu mir, und stelle fest, dass viel Zeit vergangen ist.	213
24	Die Dinge um mich herum fühlen sich oft unwirklich oder realer als sonst an.	217
25	Es fällt mir leicht, andere auszunutzen.	219
