item	text	full_item
1	I have much stronger emotional reactions than almost everyone else.	62
2	I'm good at conning people.	162
3	I'm often pretty careless with my own and others' things.	129
4	I keep my distance from people.	82
5	I often see unusual connections between things that most people miss.	194
6	Even though it drives other people crazy, I insist on absolute perfection in everything I do.	123
7	I’m always worrying about something.	109
8	Sometimes you need to exaggerate to get ahead.	126
9	I feel like I act totally on impulse.	4
10	Nothing seems to interest me very much.	23
11	People have told me that I think about things in a really strange way.	25
12	It is important to me that things are done in a certain way.	140
13	I worry a lot about being alone.	50
14	I deserve special treatment.	187
15	I lose track of conversations because other things catch my attention.	6
16	I prefer to keep romance out of my life.	89
17	It's weird, but sometimes ordinary objects seem to be a different shape than usual.	44
18	I keep trying to make things perfect, even when I've gotten them as good as they're likely to get.	176
19	I get emotional easily, often for very little reason.	122
20	It is easy for me to take advantage of others.	219
21	I often forget to pay my bills.	160
22	I don’t like spending time with others.	136
23	I've had some really weird experiences that are very difficult to explain.	209
24	I have a strict way of doing things.	220
25	I worry about almost everything.	110
26	I'll stretch the truth if it's to my advantage.	218
27	Even though I know better, I can't stop making rash decisions.	17
28	I rarely get enthusiastic about anything.	189
29	I have several habits that others find eccentric or strange.	185
30	I've been told that I spend too much time making sure things are exactly in place.	34
31	I can't stand being left alone, even for a few hours.	64
32	I often have to deal with people who are less important than me.	197
33	I am easily distracted.	132
34	I break off relationships if they start to get close.	108
35	Sometimes when I look at a familiar object, it's somehow like I'm seeing it for the first time.	77
36	People complain about my need to have everything all arranged.	115
