version,level,scale,gender,age_group,raw,T,T_int_lo,T_int_hi,pctl_med,extrapolation
bf,domain,antagonism,all,all,0,46.6,46.5,54.1,0.3673,0
bf,domain,antagonism,all,all,0.2,51.1,47,59.7,0.5419,0
bf,domain,antagonism,all,all,0.4,54.9,48.6,63.1,0.6878,0
bf,domain,antagonism,all,all,0.6,58.5,50.1,66.2,0.8023,0
bf,domain,antagonism,all,all,0.8,62.1,52.5,69,0.8863,0
bf,domain,antagonism,all,all,1,65.6,54.3,71.5,0.9406,0
bf,domain,antagonism,all,all,1.2,69,56.3,73.8,0.9715,0
bf,domain,antagonism,all,all,1.4,72.2,58.6,76.1,0.987,0
bf,domain,antagonism,all,all,1.6,75.2,61.1,78.3,0.9941,0
bf,domain,antagonism,all,all,1.8,77.9,63.5,80.3,0.9974,1
bf,domain,antagonism,all,all,2,80.2,66.1,82.1,0.9987,1
bf,domain,antagonism,all,all,2.2,82.4,68.6,84.2,0.9994,1
bf,domain,antagonism,all,all,2.4,82.4,71.5,86.4,0.9994,1
bf,domain,antagonism,all,all,2.6,87.2,74.8,87.2,1,1
bf,domain,antagonism,all,all,2.8,87.2,78.3,87.2,1,1
bf,domain,antagonism,all,all,3,87.2,82.2,87.2,1,1
bf,domain,antagonism,f,"[18,35)",0,45.7,45.4,53,0.3341,0
bf,domain,antagonism,f,"[18,35)",0.2,49.8,46.1,58.5,0.491,0
bf,domain,antagonism,f,"[18,35)",0.4,53.6,47.6,61.8,0.6391,0
bf,domain,antagonism,f,"[18,35)",0.6,57.1,49.1,64.7,0.7602,0
bf,domain,antagonism,f,"[18,35)",0.8,60.5,51.5,67.4,0.8531,0
bf,domain,antagonism,f,"[18,35)",1,63.9,53.2,69.8,0.9172,0
bf,domain,antagonism,f,"[18,35)",1.2,67.1,55.3,72,0.9564,0
bf,domain,antagonism,f,"[18,35)",1.4,70,57.5,74.2,0.9771,0
bf,domain,antagonism,f,"[18,35)",1.6,72.6,60,76.9,0.988,0
bf,domain,antagonism,f,"[18,35)",1.8,74.8,62.5,79.7,0.9934,0
bf,domain,antagonism,f,"[18,35)",2,77.2,64.9,82.8,0.9967,1
bf,domain,antagonism,f,"[18,35)",2.2,87.2,67.5,85.6,1,1
bf,domain,antagonism,f,"[18,35)",2.4,87.2,70.1,87.2,1,1
bf,domain,antagonism,f,"[18,35)",2.6,87.2,72.7,87.2,1,1
bf,domain,antagonism,f,"[18,35)",2.8,87.2,75.1,87.2,1,1
bf,domain,antagonism,f,"[18,35)",3,87.2,77.3,87.2,1,1
bf,domain,antagonism,f,"[35,50)",0,48.2,48,55.1,0.4302,0
bf,domain,antagonism,f,"[35,50)",0.2,52.5,48.6,60.9,0.6005,0
bf,domain,antagonism,f,"[35,50)",0.4,56.3,49.9,64.5,0.7371,0
