version,level,scale,gender,age_group,raw,T,T_int_lo,T_int_hi,pctl_med,extrapolation
bfplus_m,domain,anankastia,all,all,0,32.3,32.1,40.6,0.0382,0
bfplus_m,domain,anankastia,all,all,0.1667,35.6,33.1,45.2,0.0744,0
bfplus_m,domain,anankastia,all,all,0.3333,38.6,34.5,48.2,0.1264,0
bfplus_m,domain,anankastia,all,all,0.5,41.3,36.3,50.9,0.1935,0
bfplus_m,domain,anankastia,all,all,0.6667,44.1,38.2,53.4,0.2765,0
bfplus_m,domain,anankastia,all,all,0.8333,46.8,40,55.8,0.3735,0
bfplus_m,domain,anankastia,all,all,1,49.5,42,58.2,0.4802,0
bfplus_m,domain,anankastia,all,all,1.1667,52.3,44.1,60.5,0.5893,0
bfplus_m,domain,anankastia,all,all,1.3333,55,46,62.8,0.6925,0
bfplus_m,domain,anankastia,all,all,1.5,57.8,48.1,65,0.7828,0
bfplus_m,domain,anankastia,all,all,1.6667,60.7,50.3,67.2,0.8567,0
bfplus_m,domain,anankastia,all,all,1.8333,63.5,52.5,69.3,0.9118,0
bfplus_m,domain,anankastia,all,all,2,66.4,54.8,71.4,0.9491,0
bfplus_m,domain,anankastia,all,all,2.1667,69.1,57.2,73.5,0.9722,0
bfplus_m,domain,anankastia,all,all,2.3333,71.8,59.8,75.6,0.9855,0
bfplus_m,domain,anankastia,all,all,2.5,74.5,62.5,77.6,0.9928,0
bfplus_m,domain,anankastia,all,all,2.6667,77.1,65.4,79.8,0.9966,1
bfplus_m,domain,anankastia,all,all,2.8333,79.9,68.5,84.8,0.9986,1
bfplus_m,domain,anankastia,all,all,3,87.2,72.9,87.1,1,1
bfplus_m,domain,anankastia,f,"[18,35)",0,32.4,31.9,39.7,0.0392,0
bfplus_m,domain,anankastia,f,"[18,35)",0.1667,35.2,33,44.3,0.0698,0
bfplus_m,domain,anankastia,f,"[18,35)",0.3333,38,34.3,47.1,0.1143,0
bfplus_m,domain,anankastia,f,"[18,35)",0.5,40.6,35.9,49.6,0.173,0
bfplus_m,domain,anankastia,f,"[18,35)",0.6667,43.2,37.7,52,0.2471,0
bfplus_m,domain,anankastia,f,"[18,35)",0.8333,45.7,39.4,54.2,0.3326,0
bfplus_m,domain,anankastia,f,"[18,35)",1,48.2,41.2,56.5,0.4286,0
bfplus_m,domain,anankastia,f,"[18,35)",1.1667,50.8,43.2,58.7,0.5301,0
bfplus_m,domain,anankastia,f,"[18,35)",1.3333,53.3,45.1,60.9,0.6304,0
bfplus_m,domain,anankastia,f,"[18,35)",1.5,55.9,47.2,63,0.7217,0
bfplus_m,domain,anankastia,f,"[18,35)",1.6667,58.5,49.2,65.1,0.8026,0
bfplus_m,domain,anankastia,f,"[18,35)",1.8333,61.3,51.4,67.2,0.8701,0
bfplus_m,domain,anankastia,f,"[18,35)",2,63.9,53.5,69.4,0.917,0
bfplus_m,domain,anankastia,f,"[18,35)",2.1667,66.5,55.8,71.5,0.951,0
bfplus_m,domain,anankastia,f,"[18,35)",2.3333,69.2,58.3,73.7,0.9728,0
bfplus_m,domain,anankastia,f,"[18,35)",2.5,72.1,60.9,76,0.9863,0
bfplus_m,domain,anankastia,f,"[18,35)",2.6667,74.8,63.5,78.6,0.9934,0
bfplus_m,domain,anankastia,f,"[18,35)",2.8333,77.2,66.4,84.3,0.9967,1
bfplus_m,domain,anankastia,f,"[18,35)",3,87.2,70.6,87.1,1,1
bfplus_m,domain,anankastia,f,"[35,50)",0,33.9,33.6,41.3,0.054,0
bfplus_m,domain,anankastia,f,"[35,50)",0.1667,37.1,34.6,45.6,0.0981,0
bfplus_m,domain,anankastia,f,"[35,50)",0.3333,39.9,35.8,48.3,0.1559,0
bfplus_m,domain,anankastia,f,"[35,50)",0.5,42.5,37.5,50.8,0.2252,0
bfplus_m,domain,anankastia,f,"[35,50)",0.6667,44.9,39.3,53.3,0.3045,0
bfplus_m,domain,anankastia,f,"[35,50)",0.8333,47.3,41.1,55.6,0.3932,0
bfplus_m,domain,anankastia,f,"[35,50)",1,49.7,42.9,57.9,0.4887,0
bfplus_m,domain,anankastia,f,"[35,50)",1.1667,52.2,44.7,60.1,0.5887,0
bfplus_m,domain,anankastia,f,"[35,50)",1.3333,54.8,46.6,62.4,0.684,0
bfplus_m,domain,anankastia,f,"[35,50)",1.5,57.5,48.6,64.6,0.7723,0
bfplus_m,domain,anankastia,f,"[35,50)",1.6667,60.2,50.6,66.8,0.8455,0
bfplus_m,domain,anankastia,f,"[35,50)",1.8333,63,52.6,69.1,0.9025,0
bfplus_m,domain,anankastia,f,"[35,50)",2,65.8,54.8,71.2,0.9427,0
bfplus_m,domain,anankastia,f,"[35,50)",2.1667,68.6,57.1,73.5,0.9684,0
bfplus_m,domain,anankastia,f,"[35,50)",2.3333,71.3,59.6,75.9,0.9836,0
bfplus_m,domain,anankastia,f,"[35,50)",2.5,74.5,62.1,78.3,0.9928,0
bfplus_m,domain,anankastia,f,"[35,50)",2.6667,78,65,81.2,0.9974,1
bfplus_m,domain,anankastia,f,"[35,50)",2.8333,87.2,68,85,1,1
bfplus_m,domain,anankastia,f,"[35,50)",3,87.2,72,87.1,1,1
bfplus_m,domain,anankastia,f,"[50,65)",0,33.4,33.2,42,0.048,0
bfplus_m,domain,anankastia,f,"[50,65)",0.1667,36.9,34.2,46.7,0.0955,0
bfplus_m,domain,anankastia,f,"[50,65)",0.3333,40.1,35.7,49.9,0.1616,0
bfplus_m,domain,anankastia,f,"[50,65)",0.5,43,37.6,52.5,0.2421,0
bfplus_m,domain,anankastia,f,"[50,65)",0.6667,45.8,39.5,55.1,0.3361,0
bfplus_m,domain,anankastia,f,"[50,65)",0.8333,48.5,41.5,57.5,0.4421,0
bfplus_m,domain,anankastia,f,"[50,65)",1,51.3,43.4,59.9,0.5534,0
bfplus_m,domain,anankastia,f,"[50,65)",1.1667,54.2,45.5,62.2,0.6626,0
bfplus_m,domain,anankastia,f,"[50,65)",1.3333,57.1,47.5,64.6,0.76,0
bfplus_m,domain,anankastia,f,"[50,65)",1.5,59.9,49.7,67,0.8398,0
bfplus_m,domain,anankastia,f,"[50,65)",1.6667,62.9,51.7,69.2,0.9011,0
bfplus_m,domain,anankastia,f,"[50,65)",1.8333,65.9,54,71.4,0.9437,0
bfplus_m,domain,anankastia,f,"[50,65)",2,68.8,56.4,73.8,0.97,0
bfplus_m,domain,anankastia,f,"[50,65)",2.1667,71.7,58.8,76.2,0.985,0
bfplus_m,domain,anankastia,f,"[50,65)",2.3333,74.6,61.5,78.6,0.9931,0
bfplus_m,domain,anankastia,f,"[50,65)",2.5,78.1,64.3,81.1,0.9976,1
bfplus_m,domain,anankastia,f,"[50,65)",2.6667,80.3,67.2,83.9,0.9988,1
bfplus_m,domain,anankastia,f,"[50,65)",2.8333,87.2,70.2,86.6,1,1
bfplus_m,domain,anankastia,f,"[50,65)",3,87.2,74.4,87.2,1,1
bfplus_m,domain,anankastia,f,"[65,Inf)",0,31.7,31.4,41.5,0.0338,0
bfplus_m,domain,anankastia,f,"[65,Inf)",0.1667,35.5,32.8,46.3,0.074,0
bfplus_m,domain,anankastia,f,"[65,Inf)",0.3333,38.9,34.4,49.5,0.1341,0
bfplus_m,domain,anankastia,f,"[65,Inf)",0.5,42,36.4,52.3,0.2128,0
bfplus_m,domain,anankastia,f,"[65,Inf)",0.6667,45,38.4,54.9,0.3092,0
bfplus_m,domain,anankastia,f,"[65,Inf)",0.8333,48,40.5,57.3,0.4216,0
bfplus_m,domain,anankastia,f,"[65,Inf)",1,51,42.6,59.9,0.5394,0
bfplus_m,domain,anankastia,f,"[65,Inf)",1.1667,54,44.7,62.2,0.6552,0
bfplus_m,domain,anankastia,f,"[65,Inf)",1.3333,56.9,46.9,64.7,0.755,0
bfplus_m,domain,anankastia,f,"[65,Inf)",1.5,59.9,49.2,67.2,0.8388,0
bfplus_m,domain,anankastia,f,"[65,Inf)",1.6667,62.9,51.4,69.6,0.9013,0
bfplus_m,domain,anankastia,f,"[65,Inf)",1.8333,65.9,53.8,72,0.9444,0
bfplus_m,domain,anankastia,f,"[65,Inf)",2,69.2,56.2,74.4,0.9723,0
bfplus_m,domain,anankastia,f,"[65,Inf)",2.1667,72.5,58.8,76.6,0.9877,0
bfplus_m,domain,anankastia,f,"[65,Inf)",2.3333,75.5,61.3,79.1,0.9947,0
