version,level,scale,gender,age_group,raw,T,T_int_lo,T_int_hi,pctl_med,extrapolation
full,domain,antagonism,all,all,0,29.6,29.8,35.8,0.0207,0
full,domain,antagonism,all,all,0.01,30,29.8,36.5,0.0227,0
full,domain,antagonism,all,all,0.02,30.4,29.9,37.2,0.025,0
full,domain,antagonism,all,all,0.03,30.8,29.9,37.9,0.0276,0
full,domain,antagonism,all,all,0.04,31.2,30,38.7,0.0303,0
full,domain,antagonism,all,all,0.05,31.7,30,39.3,0.0335,0
full,domain,antagonism,all,all,0.06,32.1,30.2,39.8,0.0369,0
full,domain,antagonism,all,all,0.07,32.5,30.4,40.3,0.0403,0
full,domain,antagonism,all,all,0.08,32.9,30.5,40.8,0.0439,0
full,domain,antagonism,all,all,0.09,33.3,30.7,41.3,0.0477,0
full,domain,antagonism,all,all,0.1,33.7,30.9,41.8,0.0519,0
full,domain,antagonism,all,all,0.11,34.1,31.2,42.2,0.0563,0
full,domain,antagonism,all,all,0.12,34.5,31.4,42.6,0.061,0
full,domain,antagonism,all,all,0.13,34.9,31.7,43.1,0.0659,0
full,domain,antagonism,all,all,0.14,35.3,31.9,43.5,0.0713,0
full,domain,antagonism,all,all,0.15,35.7,32.2,43.9,0.0766,0
full,domain,antagonism,all,all,0.16,36.1,32.4,44.2,0.0823,0
full,domain,antagonism,all,all,0.17,36.5,32.7,44.6,0.0884,0
full,domain,antagonism,all,all,0.18,36.9,32.9,44.9,0.0945,0
full,domain,antagonism,all,all,0.19,37.3,33.2,45.3,0.1012,0
full,domain,antagonism,all,all,0.2,37.6,33.5,45.6,0.1077,0
full,domain,antagonism,all,all,0.21,38,33.7,46,0.1146,0
full,domain,antagonism,all,all,0.22,38.3,34,46.3,0.1219,0
full,domain,antagonism,all,all,0.23,38.7,34.3,46.6,0.1292,0
full,domain,antagonism,all,all,0.24,39,34.6,47,0.1367,0
full,domain,antagonism,all,all,0.25,39.4,34.8,47.3,0.1447,0
full,domain,antagonism,all,all,0.26,39.8,35.1,47.5,0.1528,0
full,domain,antagonism,all,all,0.27,40.1,35.4,47.8,0.161,0
full,domain,antagonism,all,all,0.28,40.4,35.6,48.1,0.1692,0
full,domain,antagonism,all,all,0.29,40.8,35.9,48.4,0.1779,0
full,domain,antagonism,all,all,0.3,41.1,36.2,48.7,0.1867,0
full,domain,antagonism,all,all,0.31,41.4,36.5,49,0.1956,0
full,domain,antagonism,all,all,0.32,41.8,36.7,49.3,0.2049,0
full,domain,antagonism,all,all,0.33,42.1,37,49.6,0.2141,0
full,domain,antagonism,all,all,0.34,42.4,37.3,49.9,0.2235,0
full,domain,antagonism,all,all,0.35,42.7,37.6,50.1,0.2331,0
full,domain,antagonism,all,all,0.36,43,37.8,50.3,0.2431,0
full,domain,antagonism,all,all,0.37,43.4,38.1,50.5,0.2532,0
full,domain,antagonism,all,all,0.38,43.6,38.4,50.8,0.2626,0
full,domain,antagonism,all,all,0.39,44,38.6,51,0.2727,0
full,domain,antagonism,all,all,0.4,44.2,38.9,51.2,0.2826,0
full,domain,antagonism,all,all,0.41,44.6,39.1,51.5,0.2931,0
full,domain,antagonism,all,all,0.42,44.8,39.4,51.7,0.3032,0
full,domain,antagonism,all,all,0.43,45.1,39.6,51.9,0.3132,0
full,domain,antagonism,all,all,0.44,45.4,39.9,52.2,0.3236,0
full,domain,antagonism,all,all,0.45,45.7,40.2,52.4,0.3334,0
full,domain,antagonism,all,all,0.46,46,40.5,52.7,0.3438,0
full,domain,antagonism,all,all,0.47,46.3,40.7,52.9,0.3541,0
full,domain,antagonism,all,all,0.48,46.5,41,53.2,0.3645,0
full,domain,antagonism,all,all,0.49,46.8,41.2,53.4,0.3743,0
full,domain,antagonism,all,all,0.5,47.1,41.5,53.6,0.3844,0
full,domain,antagonism,all,all,0.51,47.3,41.7,53.8,0.3943,0
full,domain,antagonism,all,all,0.52,47.6,41.9,54,0.4047,0
full,domain,antagonism,all,all,0.53,47.9,42.1,54.2,0.4149,0
full,domain,antagonism,all,all,0.54,48.1,42.4,54.4,0.4247,0
full,domain,antagonism,all,all,0.55,48.4,42.6,54.7,0.4348,0
full,domain,antagonism,all,all,0.56,48.6,42.8,54.9,0.4445,0
full,domain,antagonism,all,all,0.57,48.9,43.1,55.1,0.4545,0
full,domain,antagonism,all,all,0.58,49.1,43.3,55.3,0.4643,0
full,domain,antagonism,all,all,0.59,49.4,43.6,55.5,0.4745,0
full,domain,antagonism,all,all,0.6,49.6,43.8,55.7,0.4845,0
full,domain,antagonism,all,all,0.61,49.8,44.1,55.9,0.4938,0
full,domain,antagonism,all,all,0.62,50.1,44.3,56.1,0.5036,0
full,domain,antagonism,all,all,0.63,50.3,44.6,56.4,0.5134,0
