version,level,scale,gender,age_group,raw,T,T_int_lo,T_int_hi,pctl_med,extrapolation
sf,domain,antagonism,all,all,0,37.9,37.8,44.1,0.1133,0
sf,domain,antagonism,all,all,0.0833,40.9,38.3,48.3,0.1819,0
sf,domain,antagonism,all,all,0.1667,43.6,39.5,50.6,0.2598,0
sf,domain,antagonism,all,all,0.25,45.9,41,52.5,0.3406,0
sf,domain,antagonism,all,all,0.3333,48,42.6,54.4,0.4204,0
sf,domain,antagonism,all,all,0.4167,49.9,44.1,56,0.4964,0
sf,domain,antagonism,all,all,0.5,51.7,45.6,57.7,0.568,0
sf,domain,antagonism,all,all,0.5833,53.4,47.1,59.2,0.6338,0
sf,domain,antagonism,all,all,0.6667,55,48.5,60.8,0.6929,0
sf,domain,antagonism,all,all,0.75,56.7,49.9,62.3,0.7473,0
sf,domain,antagonism,all,all,0.8333,58.2,51.2,63.8,0.7951,0
sf,domain,antagonism,all,all,0.9167,59.9,52.7,65.4,0.8378,0
sf,domain,antagonism,all,all,1,61.5,54,66.8,0.874,0
sf,domain,antagonism,all,all,1.0833,63.1,55.3,68.2,0.9047,0
sf,domain,antagonism,all,all,1.1667,64.7,56.7,69.6,0.9293,0
sf,domain,antagonism,all,all,1.25,66.3,58,71,0.9487,0
sf,domain,antagonism,all,all,1.3333,67.9,59.4,72.2,0.9634,0
sf,domain,antagonism,all,all,1.4167,69.4,60.8,73.5,0.9741,0
sf,domain,antagonism,all,all,1.5,70.9,62.2,74.6,0.9817,0
sf,domain,antagonism,all,all,1.5833,72.3,63.6,75.8,0.9872,0
sf,domain,antagonism,all,all,1.6667,73.6,65.1,76.9,0.9909,0
sf,domain,antagonism,all,all,1.75,75,66.5,77.9,0.9937,0
sf,domain,antagonism,all,all,1.8333,76.2,67.9,78.9,0.9956,1
sf,domain,antagonism,all,all,1.9167,77.3,69.3,79.8,0.9969,1
sf,domain,antagonism,all,all,2,78.4,70.7,80.7,0.9978,1
sf,domain,antagonism,all,all,2.0833,79.6,72.1,81.3,0.9984,1
sf,domain,antagonism,all,all,2.1667,80.5,73.4,81.9,0.9989,1
sf,domain,antagonism,all,all,2.25,81.1,74.7,82.4,0.9991,1
sf,domain,antagonism,all,all,2.3333,82.4,76,82.9,0.9994,1
sf,domain,antagonism,all,all,2.4167,82.4,77.2,83.5,0.9994,1
