item	text	full_item
1	Ich kann Dinge offenbar nicht so genießen wie andere.	1
2	Viele Leute haben es auf mich abgesehen.	2
3	Andere würden mich als leichtsinnig beschreiben.	3
4	Es kommt mir vor, als würde ich völlig impulsiv handeln.	4
5	Ich habe oft Ideen, die zu ungewöhnlich sind, um sie jemandem zu erklären.	5
6	Ich verliere in Gesprächen den Faden, weil mich andere Dinge ablenken.	6
7	Ich vermeide riskante Situationen.	7
8	In Bezug auf meine Gefühle sagen mir andere, ich sei ein „Eisklotz“.	8
9	Ich ändere mein Verhalten entsprechend den Wünschen anderer.	9
10	Ich möchte lieber keinen allzu engen Kontakt mit anderen Menschen.	10
11	Ich gerate oft in körperliche Auseinandersetzungen.	11
12	Ich habe Angst davor, niemanden zu haben, der mich liebt.	12
13	Grob und unfreundlich zu sein ist einfach ein Teil meiner Persönlichkeit.	13
14	Ich tue Dinge, damit Leute auf mich aufmerksam werden.	14
15	Ich mache meistens das, was andere von mir erwarten.	15
16	Ich handle meistens impulsiv, ohne über mögliche Konsequenzen nachzudenken.	16
17	Obwohl ich es eigentlich besser weiß, treffe ich immer wieder überstürzte Entscheidungen.	17
18	Meine Gefühle ändern sich manchmal ohne bestimmten Grund.	18
19	Es ist mir völlig egal, ob ich anderen Leuten Leid zufüge.	19
20	Ich bleibe lieber für mich allein.	20
21	Ich sage häufig Dinge, die andere eigenartig oder seltsam finden.	21
22	Ich handle immer spontan aus dem Moment heraus.	22
23	Nichts scheint mich wirklich zu interessieren.	23
24	Andere finden mein Verhalten offenbar seltsam.	24
25	Man hat mir gesagt, dass meine Art zu denken wirklich seltsam ist.	25
26	Ich genieße das Leben eigentlich nie.	26
27	Ich habe oft das Gefühl, dass nichts, was ich tue, wirklich wichtig ist.	27
28	Ich schnauze Leute an, wenn mich Kleinigkeiten an ihrem Verhalten aufregen.	28
29	Ich kann mich auf nichts konzentrieren.	29
30	Ich bin eine lebhafte Person.	30
31	Andere halten mich für verantwortungslos.	31
32	Ich kann gemein sein, wenn es nötig ist.	32
33	Meine Gedanken schweifen häufig in eigenartige oder ungewöhnliche Richtungen ab.	33
34	Mir wurde schon mal gesagt, dass ich zu viel Zeit damit verbringe, darauf zu achten, dass alles genau an seinem Platz ist.	34
35	Ich vermeide riskante Sportarten und Aktivitäten.	35
36	Manchmal fällt es mir schwer, zwischen Traum und Wirklichkeit zu unterscheiden.	36
37	Manchmal habe ich dieses komische Gefühl, dass Teile meines Körpers wie tot sind oder nicht wirklich zu mir gehören.	37
38	Ich werde schnell wütend.	38
39	Wenn es darum geht, gefährliche Dinge zu tun, kenne ich keine Grenzen.	39
40	Um ehrlich zu sein: Ich bin einfach wichtiger als andere Leute.	40
41	Ich erfinde Geschichten über Dinge, die angeblich passiert sind, in Wahrheit aber gar nicht stimmen.	41
42	Andere erzählen oft, dass ich Dinge getan habe, an die ich mich gar nicht erinnern kann.	42
43	Ich tue Dinge, für die andere mich einfach bewundern müssen.	43
44	Es ist komisch, aber manchmal kommen mir alltägliche Gegenstände anders vor als sonst.	44
45	Wenn etwas bei mir Gefühle auslöst, halten diese nicht besonders lange an.	45
46	Es fällt mir schwer, eine Tätigkeit zu beenden, auch wenn es wirklich an der Zeit wäre.	46
47	Ich kann nicht gut im Voraus planen.	47
48	Ich mache vieles, was andere für riskant halten.	48
49	Andere sagen mir, dass ich mich zu sehr mit unwichtigen Details beschäftige.	49
50	Ich mache mir viele Sorgen darüber, allein zu sein.	50
51	Ich habe schon mehrmals etwas verpasst, weil ich damit beschäftigt war, eine bestimmte Sache genau richtig zu machen.	51
52	Meine Gedankengänge ergeben für andere häufig keinen Sinn.	52
53	Um zu bekommen, was ich will, erfinde ich häufig etwas über mich selbst.	53
54	Es macht mir nicht wirklich etwas aus, wenn ich sehe wie andere verletzt werden.	54
55	Andere schauen mich oft so an, als hätte ich etwas wirklich Verrücktes gesagt.	55
56	Die Leute merken nicht, dass ich ihnen schmeichle, um etwas von ihnen zu bekommen.	56
57	Ich wäre lieber in einer schlechten Beziehung, als allein zu sein.	57
58	Ich denke meistens nach, bevor ich handele.	58
59	Beim Einschlafen oder Aufwachen sehe ich oft lebhafte, traumartige Bilder.	59
60	Ich gehe Dinge immer auf die gleiche Weise an, auch wenn es so nicht funktioniert.	60
61	Ich bin sehr unzufrieden mit mir.	61
62	Ich reagiere viel emotionaler als fast alle anderen Menschen.	62
63	Ich tue das, was andere mir sagen.	63
64	Ich ertrage es nicht, allein gelassen zu werden – nicht mal für ein paar Stunden.	64
65	Ich habe herausragende Eigenschaften, die nur wenige andere besitzen.	65
66	Die Zukunft kommt mir richtig hoffnungslos vor.	66
67	Ich riskiere gern etwas.	67
68	Ich erreiche Ziele nicht, weil andere Dinge meine Aufmerksamkeit beanspruchen.	68
69	Wenn ich etwas tun will, lasse ich mich nicht davon abhalten, dass es riskant sein könnte.	69
70	Andere halten mich wohl für ziemlich eigenartig oder ungewöhnlich.	70
71	Meine Gedanken sind seltsam und unvorhersehbar.	71
72	Die Gefühle anderer sind mir egal.	72
73	Um zu bekommen, was man will, muss man auch mal Leuten auf die Füße treten.	73
74	Ich liebe es, von anderen Aufmerksamkeit zu bekommen.	74
75	Ich vermeide möglichst jede Art von Gruppenaktivität.	75
76	Ich kann hinterhältig sein, wenn ich dadurch bekomme, was ich will.	76
77	Wenn ich einen vertrauten Gegenstand anschaue, ist es manchmal so, als würde ich ihn zum ersten Mal sehen.	77
78	Es fällt mir schwer, von einer Tätigkeit zu einer anderen überzugehen.	78
79	Ich mache mir häufig Sorgen über schreckliche Dinge, die passieren könnten.	79
80	Es fällt mir schwer, meine Vorgehensweise zu verändern, auch wenn sie sich nicht bewährt.	80
81	Die Welt wäre besser dran, wenn ich tot wäre.	81
82	Ich halte Abstand zu Menschen.	82
83	Ich habe meine Gedanken oft nicht unter Kontrolle.	83
84	Ich werde nicht emotional.	84
85	Ich hasse es, gesagt zu bekommen, was ich tun soll, auch von Leuten in Führungspositionen.	85
86	Ich schäme mich sehr dafür, dass ich andere in vielen kleinen Dingen enttäuscht habe.	86
87	Ich vermeide alles, was auch nur ein kleines bisschen gefährlich sein könnte.	87
88	Es fällt mir schwer, bestimmte Ziele zu verfolgen, selbst für kurze Zeit.	88
89	Ich halte romantische Gefühle lieber aus meinem Leben heraus.	89
90	Ich würde niemals jemand anderen verletzen.	90
91	Ich zeige meine Gefühle nicht so deutlich.	91
92	Ich bin sehr leicht reizbar.	92
93	Ich befürchte häufig, dass aufgrund meiner Fehler in der Vergangenheit etwas Schlimmes passieren wird.	93
94	Ich habe ein paar ungewöhnliche Fähigkeiten; zum Beispiel weiß ich manchmal genau, was jemand anderes denkt.	94
95	Ich werde sehr nervös, wenn ich über die Zukunft nachdenke.	95
96	Ich mache mir selten Sorgen.	96
97	Ich genieße es, verliebt zu sein.	97
98	Ich gehe lieber auf Nummer sicher, als unnötige Risiken einzugehen.	98
99	Ich habe manchmal Dinge gehört, die andere nicht hören konnten.	99
100	Ich fixiere mich auf bestimmte Dinge und kann mich dann nicht mehr davon losreißen.	100
101	Andere sagen mir, dass sie nur schwer einschätzen können, was ich fühle.	101
102	Ich bin eine hochemotionale Person.	102
103	Andere würden mich ausnutzen, wenn sie könnten.	103
104	Ich fühle mich oft als Versager.	104
105	Wenn etwas, das ich tue, nicht absolut perfekt ist, kann ich es einfach nicht akzeptieren.	105
106	Ich habe oft ungewöhnliche Erlebnisse; zum Beispiel spüre ich die Gegenwart von jemandem, der nicht wirklich da ist.	106
107	Ich kann Leute gut dazu bringen, das zu tun, was ich will.	107
108	Ich beende Beziehungen, wenn sie enger werden.	108
