item	text	full_item
1	I don't get as much pleasure out of things as others seem to.	1
2	Plenty of people are out to get me.	2
3	People would describe me as reckless.	3
4	I feel like I act totally on impulse.	4
5	I often have ideas that are too unusual to explain to anyone.	5
6	I lose track of conversations because other things catch my attention.	6
7	I avoid risky situations.	7
8	When it comes to my emotions, people tell me I'm a "cold fish".	8
9	I change what I do depending on what others want.	9
10	I prefer not to get too close to people.	10
11	I often get into physical fights.	11
12	I dread being without someone to love me.	12
13	Being rude and unfriendly is just a part of who I am.	13
14	I do things to make sure people notice me.	14
15	I usually do what others think I should do.	15
16	I usually do things on impulse without thinking about what might happen as a result.	16
17	Even though I know better, I can't stop making rash decisions.	17
18	My emotions sometimes change for no good reason.	18
19	I really don't care if I make other people suffer.	19
20	I keep to myself.	20
21	I often say things that others find odd or strange.	21
22	I always do things on the spur of the moment.	22
23	Nothing seems to interest me very much.	23
24	Other people seem to think my behavior is weird.	24
25	People have told me that I think about things in a really strange way.	25
26	I almost never enjoy life.	26
27	I often feel like nothing I do really matters.	27
28	I snap at people when they do little things that irritate me.	28
29	I can't concentrate on anything.	29
30	I'm an energetic person.	30
31	Others see me as irresponsible.	31
32	I can be mean when I need to be.	32
33	My thoughts often go off in odd or unusual directions.	33
34	I've been told that I spend too much time making sure things are exactly in place.	34
35	I avoid risky sports and activities.	35
36	I can have trouble telling the difference between dreams and waking life.	36
37	Sometimes I get this weird feeling that parts of my body feel like they're dead or not really me.	37
38	I am easily angered.	38
39	I have no limits when it comes to doing dangerous things.	39
40	To be honest, I'm just more important than other people.	40
41	I make up stories about things that happened that are totally untrue.	41
42	People often talk about me doing things I don't remember at all.	42
43	I do things so that people just have to admire me.	43
44	It's weird, but sometimes ordinary objects seem to be a different shape than usual.	44
45	I don't have very long-lasting emotional reactions to things.	45
46	It is hard for me to stop an activity, even when it’s time to do so.	46
47	I'm not good at planning ahead.	47
48	I do a lot of things that others consider risky.	48
49	People tell me that I focus too much on minor details.	49
50	I worry a lot about being alone.	50
51	I've missed out on things because I was busy trying to get something I was doing exactly right.	51
52	My thoughts often don’t make sense to others.	52
53	I often make up things about myself to help me get what I want.	53
54	It doesn't really bother me to see other people get hurt.	54
55	People often look at me as if I'd said something really weird.	55
56	People don't realize that I'm flattering them to get something.	56
57	I’d rather be in a bad relationship than be alone.	57
58	I usually think before I act.	58
59	I often see vivid dream-like images when I’m falling asleep or waking up.	59
60	I keep approaching things the same way, even when it isn’t working.	60
61	I'm very dissatisfied with myself.	61
62	I have much stronger emotional reactions than almost everyone else.	62
63	I do what other people tell me to do.	63
64	I can't stand being left alone, even for a few hours.	64
65	I have outstanding qualities that few others possess.	65
66	The future looks really hopeless to me.	66
67	I like to take risks.	67
68	I can't achieve goals because other things capture my attention.	68
69	When I want to do something, I don't let the possibility that it might be risky stop me.	69
70	Others seem to think I'm quite odd or unusual.	70
71	My thoughts are strange and unpredictable.	71
72	I don't care about other people's feelings.	72
73	You need to step on some toes to get what you want in life.	73
74	I love getting the attention of other people.	74
75	I go out of my way to avoid any kind of group activity.	75
76	I can be sneaky if it means getting what I want.	76
77	Sometimes when I look at a familiar object, it's somehow like I'm seeing it for the first time.	77
78	It is hard for me to shift from one activity to another.	78
79	I worry a lot about terrible things that might happen.	79
80	I have trouble changing how I'm doing something even if what I'm doing isn't going well.	80
81	The world would be better off if I were dead.	81
82	I keep my distance from people.	82
83	I often can't control what I think about.	83
84	I don't get emotional.	84
85	I resent being told what to do, even by people in charge.	85
86	I'm so ashamed by how I've let people down in lots of little ways.	86
87	I avoid anything that might be even a little bit dangerous.	87
88	I have trouble pursuing specific goals even for short periods of time.	88
89	I prefer to keep romance out of my life.	89
90	I would never harm another person.	90
91	I don't show emotions strongly.	91
92	I have a very short temper.	92
93	I often worry that something bad will happen due to mistakes I made in the past.	93
94	I have some unusual abilities, like sometimes knowing exactly what someone is thinking.	94
95	I get very nervous when I think about the future.	95
96	I rarely worry about things.	96
97	I enjoy being in love.	97
98	I prefer to play it safe rather than take unnecessary chances.	98
99	I sometimes have heard things that others couldn’t hear.	99
100	I get fixated on certain things and can’t stop.	100
101	People tell me it's difficult to know what I'm feeling.	101
102	I am a highly emotional person.	102
103	Others would take advantage of me if they could.	103
104	I often feel like a failure.	104
105	If something I do isn't absolutely perfect, it's simply not acceptable.	105
106	I often have unusual experiences, such as sensing the presence of someone who isn't actually there.	106
107	I'm good at making people do what I want them to do.	107
108	I break off relationships if they start to get close.	108
109	I’m always worrying about something.	109
110	I worry about almost everything.	110
111	I like standing out in a crowd.	111
112	I don't mind a little risk now and then.	112
113	My behavior is often bold and grabs peoples' attention.	113
114	I'm better than almost everyone else.	114
115	People complain about my need to have everything all arranged.	115
116	I always make sure I get back at people who wrong me.	116
117	I'm always on my guard for someone trying to trick or harm me.	117
118	I have trouble keeping my mind focused on what needs to be done.	118
119	I talk about suicide a lot.	119
120	I'm just not very interested in having sexual relationships.	120
121	I get stuck on things a lot.	121
122	I get emotional easily, often for very little reason.	122
123	Even though it drives other people crazy, I insist on absolute perfection in everything I do.	123
124	I almost never feel happy about my day-to-day activities.	124
125	Sweet-talking others helps me get what I want.	125
126	Sometimes you need to exaggerate to get ahead.	126
127	I fear being alone in life more than anything else.	127
128	I get stuck on one way of doing things, even when it's clear it won't work.	128
129	I'm often pretty careless with my own and others' things.	129
130	I am a very anxious person.	130
131	People are basically trustworthy.	131
132	I am easily distracted.	132
133	It seems like I'm always getting a “raw deal” from others.	133
134	I don't hesitate to cheat if it gets me ahead.	134
135	I check things several times to make sure they are perfect.	135
136	I don’t like spending time with others.	136
137	I feel compelled to go on with things even when it makes little sense to do so.	137
138	I never know where my emotions will go from moment to moment.	138
139	I have seen things that weren’t really there.	139
140	It is important to me that things are done in a certain way.	140
141	I always expect the worst to happen.	141
142	I try to tell the truth even when it's hard.	142
143	I believe that some people can move things with their minds.	143
144	I can't focus on things for very long.	144
145	I steer clear of romantic relationships.	145
146	I'm not interested in making friends.	146
147	I say as little as possible when dealing with people.	147
148	I'm useless as a person.	148
149	I'll do just about anything to keep someone from abandoning me.	149
150	Sometimes I can influence other people just by sending my thoughts to them.	150
151	Life looks pretty bleak to me.	151
152	I think about things in odd ways that don't make sense to most people.	152
153	I don’t care if my actions hurt others.	153
154	Sometimes I feel "controlled" by thoughts that belong to someone else.	154
155	I really live life to the fullest.	155
156	I make promises that I don't really intend to keep.	156
157	Nothing seems to make me feel good.	157
158	I get irritated easily by all sorts of things.	158
159	I do what I want regardless of how unsafe it might be.	159
160	I often forget to pay my bills.	160
161	I don’t like to get too close to people.	161
162	I'm good at conning people.	162
163	Everything seems pointless to me.	163
164	I never take risks.	164
165	I get emotional over every little thing.	165
166	It's no big deal if I hurt other peoples' feelings.	166
167	I never show emotions to others.	167
168	I often feel just miserable.	168
169	I have no worth as a person.	169
170	I am usually pretty hostile.	170
171	I've skipped town to avoid responsibilities.	171
172	I've been told more than once that I have a number of odd quirks or habits.	172
173	I like being a person who gets noticed.	173
174	I'm always fearful or on edge about bad things that might happen.	174
175	I never want to be alone.	175
176	I keep trying to make things perfect, even when I've gotten them as good as they're likely to get.	176
177	I rarely feel that people I know are trying to take advantage of me.	177
178	I know I'll commit suicide sooner or later.	178
